id,lng,lat
96,-74.1397,41.0718872
97,-75.28811,40.1658066
98,-87.74555,41.6529284
99,-106.30305,31.7243694
100,-76.9474,39.4079715
101,-82.9208699,40.1040448
102,-88.00126,41.6433883
103,-93.16422,44.8302396
104,-117.88605,33.7602528
105,-96.12582,41.2923051
106,-97.67116,30.4234833
107,-122.66577,38.2735725
108,-77.3037499,38.6560397
109,-93.28779,44.7507284
110,-92.4282,34.7540822
111,-75.62782,40.2707284
112,-111.98993,41.0808378
113,-74.14463,40.8287041
114,-83.86229,42.5851876
115,-88.18129,43.4032024
116,-112.36201,33.6389007
117,-85.2014,41.0719331
118,-117.76312,33.6953883
119,-111.84157,33.2851129
120,-117.34969,34.4703481
121,-90.51816,38.5944487
122,-83.24832,42.2011621
123,-97.78704,32.7296661
124,-93.20323,44.7331459
125,-117.47504,34.1502091
126,-111.75532,33.2921631
127,-84.47382,37.8726879
128,-87.94085,42.0556181
129,-93.4997999,44.7738953
130,-76.25147,36.7723856
131,-72.512,41.8128827
132,-94.76629,39.0088115
133,-122.12501,37.7026227
134,-105.1756599,39.812537
135,-81.69458,28.3978691
136,-104.85745,39.0798644
137,-83.83545,39.9428433
138,-87.31438,41.4684472
139,-117.96401,33.9170844
140,-112.34077,33.4610082
141,-94.77389,38.883848
142,-83.99226,33.6459563
143,-111.59811,33.4448114
144,-74.8667399,40.198247
145,-74.05893,40.9174557
146,-93.1847,44.7903387
147,-93.16909,45.0149307
148,-95.45738,30.2143556
149,-111.88491,40.5268096
150,-105.18511,39.7268357
151,-85.99674,40.0316973
152,-74.30144,40.297787
153,-82.97387,40.060916
154,-122.49762,45.6168633
155,-122.11172,47.3594171
156,-88.14438,42.0264583
157,-74.54146,40.8729276
158,-74.21578,40.8865536
159,-74.45843,40.8410255
160,-97.7599199,35.4844119
161,-80.08331,40.6857271
162,-119.78271,36.8445629
163,-82.78185,39.9158961
164,-81.8235,41.3106538
165,-87.63657,41.5691654
166,-112.09989,33.6486459
167,-74.27162,40.943576
168,-93.58143,41.7119491
169,-85.15876,35.0240414
170,-95.15843,29.5573515
171,-94.4109,38.9263333
172,-96.79665,32.9996214
173,-84.69042,33.8747965
174,-84.61742,33.8581092
175,-104.77535,39.6533938
176,-78.5814,35.693626
177,-84.23941,40.0554855
178,-117.06622,32.5947099
179,-83.3276999,43.0435054
180,-94.35902,39.048114
181,-72.64836,41.6749517
182,-73.22601,41.177146
183,-96.62652,32.7908041
184,-93.25936,37.1418564
185,-112.10029,33.6402273
186,-117.64323,34.1328656
187,-117.32662,33.8880642
188,-93.5809,41.7082756
189,-98.46035,29.6065078
190,-87.95965,43.3067339
191,-118.92256,34.1837355
192,-84.41871,38.0247947
193,-110.82405,32.2238793
194,-79.68368,40.3173753
195,-74.67629,40.3039233
196,-72.84402,41.6772741
197,-97.68921,30.4811898
198,-75.63683,40.0262512
199,-117.8391,33.821944
200,-97.2584,32.8960335
201,-86.1228299,40.0027379
202,-87.85117,41.1588511
203,-83.43413,42.435064
204,-73.22627,40.7391945
205,-84.02381,41.8754054
206,-84.14623,33.9505613
207,-84.01633,33.8670602
208,-95.43285,30.06158
209,-88.73011,41.9483758
210,-95.26119,30.022421
211,-77.24526,39.1986683
212,-77.40118,38.9602481
213,-111.97714,33.6787875
214,-90.69969,38.7776273
215,-89.95098,38.7897614
216,-77.3893,39.0276323
217,-88.1867199,43.0281934
218,-75.02388,39.9387684
219,-87.6708699,41.9203479
220,-74.1545,40.4147951
221,-90.38001,38.4365827
222,-117.82945,34.0300061
223,-78.17009,39.1603226
224,-93.55252,45.1996046
225,-74.00263,41.0939709
226,-84.03571,35.9279414
227,-87.80391,41.8502108
228,-88.26496,42.9912442
229,-97.51269,35.6676255
230,-87.81281,42.1053683
231,-87.88998,41.4882041
232,-119.31365,36.3105452
233,-117.59452,33.6402973
234,-121.03576,37.6718616
235,-117.76273,34.1127712
236,-83.12709,42.6363534
237,-74.16403,40.6270692
238,-80.10464,36.1080376
239,-95.5895,30.0107226
240,-122.43077,45.5295769
241,-77.16835,40.1952518
242,-117.33079,33.1752447
243,-86.26209,39.9513328
244,-88.0766699,42.378939
245,-117.73603,33.8745398
246,-122.0537,37.9458598
247,-88.72651,41.9510754
248,-88.06711,43.0603726
249,-121.8497,37.3657147
250,-83.39771,41.9537853
251,-116.96436,32.6488905
252,-74.94986,40.1035276
253,-86.64109,36.181212
254,-75.3011,40.2519679
255,-89.79277,35.1915555
256,-84.29265,34.0034574
257,-87.94197,42.2298243
258,-73.83092,40.9773926
259,-78.7415,35.7544422
260,-116.96412,32.6513884
261,-72.91616,41.3755241
262,-116.92761,32.7465004
263,-96.73631,33.1006975
264,-118.55762,34.4128118
265,-86.17198,32.35435
266,-88.26702,42.3614693
267,-80.59311,35.4634903
268,-117.2068,33.5630258
269,-117.52495,33.8290986
270,-72.98752,41.2736059
271,-75.29825,39.9690025
272,-89.00136,42.7125763
273,-93.31117,45.0587499
274,-97.06674,33.0350699
275,-89.35186,43.0462303
276,-88.34057,41.8555146
277,-88.20021,41.5668287
278,-82.73369,28.0195113
279,-86.44196,35.845544
280,-118.33147,33.7933041
281,-78.9619,35.0651624
282,-76.67759,39.9902862
283,-97.49426,35.3135729
284,-88.0473899,42.9970588
285,-89.29966,43.1310331
286,-101.93795,35.1885562
287,-117.51803,33.8210479
288,-118.16044,33.832073
289,-86.35637,39.7180405
290,-77.4152,37.3550304
291,-74.8032999,39.9980452
292,-96.7052099,33.0350247
293,-97.16399,31.49916
294,-104.7945699,38.7919281
